Diện Tích,Giá,Hướng ban công,Hướng nhà,Mặt tiền,Pháp lý,Số phòng ngủ,Số toilet,Số tầng,Đường vào,Địa chỉ
62 m2,9.8 tỷ,Tây - Nam,Tây - Nam,None,Hợp đồng mua bán.,1 phòng,1 phòng,None,None,None

98 m2,75 tỷ,None,None,None,Có sổ.,None,None,1 tầng,None,"Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh"

28.88 m2,9.2 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,4 tầng,None,None

82.5 m2,18 tỷ,None,None,None,None,3 phòng,2 phòng,None,None,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Quận 1, Hồ Chí Minh"

77 m2,14 tỷ,None,None,None,None,2 phòng,2 phòng,None,None,None

130 m2,7 tỷ,None,None,None,None,3 phòng,3 phòng,None,None,None

88 m2,25 tỷ,None,None,None,None,4 phòng,4 phòng,3 tầng,14 m,None

240 m2,97 tỷ,None,None,None,None,None,None,5 tầng,None,None

150 m2,90 tỷ,None,None,None,None,None,None,4 tầng,None,None

780 m2,290 tỷ,None,None,None,None,None,None,3 tầng,None,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh"

65 m2,18 tỷ,None,None,None,Có sổ.,None,None,3 tầng,None,None

75 m2,15.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,2 tầng,None,None

76.5 m2,50 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,16 phòng,16 phòng,6 tầng,None,None

30 m2,15 tỷ,None,None,None,Có sổ.,5 phòng,5 phòng,5 tầng,None,None

64 m2,30 tỷ,None,None,None,None,None,None,None,None,"121/38, Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Hồ Chí Minh"

4000 m2,4542 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,255 phòng,None,None,None,None

80 m2,24.5 tỷ,None,None,None,Sổ hồng chính chủ,5 phòng,6 phòng,3 tầng,9 m,None

103 m2,5.7 tỷ,None,None,None,Hợp đồng mua bán,2 phòng,2 phòng,None,None,None

185 m2,39 tỷ,None,None,12 m,Sổ đỏ/ Sổ hồng,8 phòng,33 phòng,None,10 m,None

110 m2,95 tỷ,None,None,None,None,20 phòng,20 phòng,10 tầng,30 m,None

53 m2,19.9 tỷ,None,None,4.4 m,None,None,None,5 tầng,None,None

35.21 m2,17.2 tỷ,Tây - Bắc,Tây - Bắc,4 m,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,4 tầng,20 m,None

62.9 m2,55 tỷ,Đông - Bắc,Đông - Bắc,3.7 m,Sổ đỏ/ Sổ hồng,10 phòng,6 phòng,6 tầng,20 m,None

60 m2,12 tỷ,None,None,None,Có sổ.,None,None,None,None,None

123 m2,30 tỷ,None,None,None,Sổ hồng,6 phòng,7 phòng,5 tầng,None,None

100 m2,35 tỷ,None,None,None,Có sổ.,15 phòng,15 phòng,5 tầng,6 m,None

120 m2,25 tỷ,Đông - Nam,Đông - Bắc,None,Đang chờ sổ,3 phòng,2 phòng,None,None,None

522 m2,250 tỷ,Đông - Bắc,Đông - Bắc,14 m,Sổ đỏ/ Sổ hồng,None,None,5 tầng,6 m,None

43 m2,18 tỷ,None,None,4.3 m,Sổ đỏ/ Sổ hồng.,4 phòng,4 phòng,4 tầng,20 m,None

180 m2,180 tỷ,None,Đông - Nam,None,Sổ đỏ/ Sổ hồng,None,None,9 tầng,20 m,None

285 m2,125 tỷ,None,None,None,Có sổ hồng,None,None,None,None,"Đường Trần Đình Xu, Phường Cô Giang, Quận 1, Hồ Chí Minh"

120 m2,18 tỷ,None,None,None,Có sổ.,None,None,5 tầng,6 m,None

105 m2,28.5 tỷ,None,None,None,None,4 phòng,5 phòng,4 tầng,None,None

125 m2,18.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

72 m2,10.5 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

Địa m2,9 tỷ,None,None,None,None,None,None,None,None,"Phố Hai Bà Trưng, Phường Đa Kao, Quận 1, Hồ Chí Minh"

68 m2,11 tỷ,None,None,None,Sổ đỏ/ Sổ hồng,None,None,None,None,None

